machine_id,defect_rate,production_volume,downtime_minutes,shift
CNC-02,1.35,213,48.0,Morning
LATHE-01,3.77,337,65.6,Morning
CNC-02,2.61,219,34.0,Morning
LATHE-01,4.35,291,93.2,Afternoon
CNC-01,0.98,191,60.9,Morning
PRESS-01,3.23,360,66.0,Morning
PRESS-01,3.98,273,62.3,Night
PRESS-02,2.23,295,43.2,Morning
LATHE-02,4.06,265,80.9,Afternoon
CNC-05,3.44,267,40.7,Morning
PRESS-02,3.93,211,76.6,Afternoon
CNC-05,4.3,291,64.6,Night
LATHE-02,5.85,373,96.1,Night
LATHE-01,3.44,360,37.9,Morning
CNC-01,0.52,223,30.7,Morning
LATHE-02,4.65,345,96.6,Night
PRESS-02,4.22,257,72.6,Night
CNC-05,2.4,310,37.8,Night
PRESS-02,5.64,318,79.9,Afternoon
CNC-01,1.7,199,54.3,Morning
PRESS-02,4.33,329,91.7,Night
LATHE-01,3.77,318,61.0,Morning
LATHE-01,3.66,325,64.2,Afternoon
CNC-01,2.63,216,48.1,Night
LATHE-01,3.89,297,48.6,Morning
LATHE-01,4.88,254,92.6,Night
CNC-03,2.51,304,72.8,Night
PRESS-03,4.03,274,79.5,Morning
CNC-05,3.14,334,67.4,Morning
PRESS-03,4.33,298,70.7,Morning
CNC-03,0.87,185,48.0,Morning
LATHE-02,5.85,388,80.8,Afternoon
CNC-04,5.01,199,70.6,Night
LATHE-01,4.51,278,82.5,Afternoon
PRESS-01,2.77,249,58.8,Morning
CNC-01,1.64,211,48.0,Morning
PRESS-01,2.96,241,41.0,Morning
LATHE-02,3.96,340,74.1,Night
PRESS-02,3.79,342,58.5,Morning
CNC-01,1.81,224,30.3,Night
CNC-01,0.73,192,44.9,Afternoon
LATHE-01,4.44,339,81.8,Afternoon
PRESS-03,3.43,317,74.8,Morning
CNC-02,1.37,155,28.4,Morning
CNC-01,0.98,252,48.5,Morning
CNC-04,2.99,281,54.7,Afternoon
CNC-01,2.85,194,43.4,Afternoon
LATHE-01,4.63,334,67.8,Night
CNC-05,2.55,310,31.5,Morning
CNC-01,0.89,186,30.0,Morning
