date,campaign,impressions,clicks,conversions,spend
2024-06-01,Holiday Promo,14677,665,70,98.29
2024-06-02,Spring Sale,7212,207,31,43.52
2024-06-03,Holiday Promo,12961,554,45,76.75
2024-06-04,Retarget Q2,5449,366,66,49.05
2024-06-05,Retarget Q2,4325,290,59,36.71
2024-06-06,Holiday Promo,13488,599,56,125.66
2024-06-07,Spring Sale,7820,300,41,40.29
2024-06-08,Holiday Promo,8871,365,39,55.27
2024-06-09,Spring Sale,8175,422,50,48.39
2024-06-10,Retarget Q2,5224,324,52,32.34
2024-06-11,Holiday Promo,11963,711,95,89.07
2024-06-12,Retarget Q2,6716,371,62,49.76
2024-06-13,New Product Launch,18588,337,42,121.89
2024-06-14,Brand Awareness,17806,297,2,50.86
2024-06-15,Spring Sale,5891,288,36,38.0
2024-06-16,Retarget Q2,4386,193,30,39.56
2024-06-17,New Product Launch,19970,194,15,111.7
2024-06-18,Brand Awareness,19840,337,3,103.36
2024-06-19,Brand Awareness,17518,446,11,59.37
2024-06-20,New Product Launch,22790,1026,54,148.18
2024-06-21,Brand Awareness,16943,267,2,84.07
2024-06-22,Retarget Q2,4363,212,44,34.26
2024-06-23,Spring Sale,9447,289,16,48.27
2024-06-24,Spring Sale,7213,222,27,39.36
2024-06-25,Holiday Promo,9637,471,46,82.59
2024-06-26,Spring Sale,10387,316,35,50.73
2024-06-27,Brand Awareness,8355,193,11,21.16
2024-06-28,Spring Sale,7602,223,24,43.56
2024-06-01,Retarget Q2,5727,349,75,42.66
2024-06-02,Brand Awareness,12221,141,5,30.11
2024-07-03,Brand Awareness,15913,79,1,66.36
2024-07-04,Brand Awareness,8636,154,5,22.59
2024-07-05,Spring Sale,6104,206,19,49.37
2024-07-06,Brand Awareness,9738,277,9,33.56
2024-07-07,New Product Launch,20912,532,26,119.66
2024-07-08,Brand Awareness,10380,64,2,48.37
2024-07-09,Spring Sale,8072,179,22,46.89
2024-07-10,Holiday Promo,13727,602,69,83.73
2024-07-11,New Product Launch,11234,292,18,73.36
2024-07-12,New Product Launch,23352,292,9,139.36
2024-07-13,New Product Launch,19819,375,29,114.01
2024-07-14,Retarget Q2,3899,179,32,35.38
2024-07-15,Retarget Q2,4880,302,50,38.38
2024-07-16,Brand Awareness,13379,66,3,48.19
2024-07-17,Holiday Promo,10589,473,24,85.17
2024-07-18,Holiday Promo,12683,558,41,82.17
2024-07-19,Retarget Q2,5042,198,40,38.82
2024-07-20,Holiday Promo,7987,308,32,64.3
2024-07-21,Spring Sale,7179,325,34,49.1
2024-07-22,New Product Launch,24907,667,71,106.13
2024-07-23,Spring Sale,7927,250,28,52.13
2024-07-24,New Product Launch,20849,727,59,83.94
2024-07-25,New Product Launch,22293,451,36,104.17
2024-07-26,Retarget Q2,3976,173,26,26.38
2024-07-27,Brand Awareness,17223,95,3,74.57
2024-07-28,Spring Sale,10299,330,39,76.82
2024-07-01,Holiday Promo,15721,615,63,100.79
2024-07-02,Retarget Q2,2975,137,18,20.82
2024-07-03,New Product Launch,22481,586,23,89.24
2024-07-04,Brand Awareness,14172,121,1,21.86
