date,region,product,units_sold,revenue,cost,lead_time_days
2024-01-01,North,Widget Pro,146,3844.5,1998.78,7
2024-01-02,North,Widget Pro,115,2781.36,1694.13,7
2024-01-03,North,Widget Pro,159,3828.75,2278.53,6
2024-01-04,North,Widget Pro,165,3827.24,2375.65,7
2024-01-05,North,Widget Pro,98,2501.56,1250.5,7
2024-01-06,North,Widget Pro,164,4134.71,2506.88,5
2024-01-07,North,Widget Pro,115,3021.87,1514.05,9
2024-01-08,North,Widget Pro,133,3122.67,2004.31,6
2024-01-09,North,Widget Pro,141,3605.62,2074.83,7
2024-01-10,North,Widget Pro,121,2970.74,1742.9,7
2024-01-11,North,Widget Pro,166,4165.35,2224.65,8
2024-01-12,North,Widget Pro,164,3819.38,2313.4,4
2024-01-13,North,Widget Pro,116,2967.17,1585.76,10
2024-01-14,North,Widget Pro,140,3510.93,1962.85,7
2024-01-15,North,Widget Pro,367,8981.0,5073.81,10
2024-01-16,North,Widget Pro,123,3071.82,1546.48,7
2024-01-17,North,Widget Pro,154,3686.35,2276.93,8
2024-01-18,North,Widget Pro,122,2937.04,1701.07,12
2024-01-19,North,Widget Pro,170,4107.09,2322.31,8
2024-01-20,North,Widget Pro,115,2660.9,1564.89,11
2024-01-21,North,Widget Pro,113,2840.07,1610.35,8
2024-01-22,North,Widget Pro,129,3273.48,1725.29,9
2024-01-23,North,Widget Pro,183,4389.17,2273.11,9
2024-01-24,North,Widget Pro,143,3540.1,2042.75,10
2024-01-25,North,Widget Pro,137,3329.76,1967.78,7
2024-01-26,North,Widget Pro,139,3439.04,1926.58,7
2024-01-27,North,Widget Pro,131,3149.07,1728.74,7
2024-01-28,North,Widget Pro,127,3029.04,1785.91,9
2024-01-29,North,Widget Pro,160,4043.72,2075.97,8
2024-01-30,North,Widget Pro,161,3936.94,2138.23,10
2024-01-31,North,Widget Pro,220,5716.98,2964.39,11
2024-02-01,North,Widget Pro,140,3434.77,2042.71,7
2024-02-02,North,Widget Pro,137,3263.25,1883.23,7
2024-02-03,North,Widget Pro,104,2641.79,1423.4,6
2024-02-04,North,Widget Pro,135,3370.09,2074.72,13
2024-02-05,North,Widget Pro,186,4656.37,2649.89,9
2024-02-06,North,Widget Pro,373,9464.91,5310.51,10
2024-02-07,North,Widget Pro,131,3146.65,1800.1,6
2024-02-08,North,Widget Pro,132,3221.65,1792.9,9
2024-02-09,North,Widget Pro,172,4192.33,2144.76,10
2024-02-10,North,Widget Pro,140,3297.18,2054.94,8
