order_date,sales_amount,profit,quantity,product_category,city,channel
2025-02-21,451.95,48.37,11,Office Supplies,Chicago,Online
2025-07-15,3358.93,981.63,3,Software,Denver,Direct
2025-05-25,693.02,352.33,4,Electronics,San Francisco,Direct
2025-08-10,872.55,109.87,34,Software,Austin,Wholesale
2025-12-06,1616.32,484.63,11,Software,New York,Retail
2025-05-29,262.9,31.9,7,Furniture,New York,Direct
2025-01-07,1417.92,516.11,15,Software,Portland,Online
2025-11-26,783.16,371.15,1,Electronics,Portland,Direct
2025-01-22,1597.12,165.05,9,Furniture,Seattle,Wholesale
2025-09-01,1725.7,245.86,40,Software,Boston,Wholesale
2025-01-04,571.49,135.11,10,Software,New York,Online
2025-11-30,995.24,136.81,22,Software,Denver,Wholesale
2025-01-30,1486.2,490.92,10,Electronics,Portland,Direct
2025-06-21,1001.89,103.24,1,Furniture,Boston,Direct
2025-12-25,1962.65,487.53,12,Software,Seattle,Retail
2025-03-05,1288.24,178.14,3,Office Supplies,Chicago,Retail
2025-06-13,2844.63,596.77,3,Furniture,Seattle,Direct
2025-12-08,1268.95,199.72,8,Office Supplies,Seattle,Wholesale
2025-04-24,626.74,123.18,3,Furniture,New York,Direct
2025-07-24,2406.88,289.98,2,Furniture,Seattle,Wholesale
2025-08-09,1153.6,241.52,16,Electronics,Chicago,Online
2025-07-08,800.21,168.46,10,Office Supplies,San Francisco,Retail
2025-01-06,379.64,165.57,2,Software,Chicago,Direct
2025-05-19,2119.15,450.97,10,Furniture,San Francisco,Direct
2025-11-15,1855.84,346.93,1,Furniture,Denver,Online
2025-01-22,484.72,117.06,11,Furniture,New York,Online
2025-01-21,1160.26,229.71,3,Software,New York,Online
2025-05-30,1450.79,510.24,1,Software,Denver,Online
2025-03-02,533.25,87.44,31,Furniture,Portland,Wholesale
2025-07-13,3768.4,473.54,2,Furniture,San Francisco,Retail
2025-03-11,1607.68,176.29,5,Office Supplies,Portland,Online
2025-09-05,1720.26,370.94,2,Furniture,Boston,Direct
2025-09-23,645.37,180.37,2,Software,Chicago,Direct
2025-12-29,675.64,73.0,15,Furniture,Chicago,Retail
2025-09-11,1109.66,323.99,13,Electronics,New York,Retail
2025-11-07,1448.33,243.93,22,Furniture,New York,Wholesale
2025-01-21,1956.51,245.89,3,Office Supplies,Chicago,Direct
2025-09-20,516.36,20.09,34,Furniture,Portland,Wholesale
2025-11-07,996.14,228.01,4,Office Supplies,Austin,Retail
2025-04-22,697.38,93.95,22,Electronics,Portland,Wholesale
2025-03-13,908.79,49.96,6,Software,Portland,Wholesale
2025-07-24,835.74,166.52,11,Furniture,Austin,Direct
2025-09-02,1857.37,307.85,2,Furniture,Boston,Retail
2025-05-21,1461.92,67.42,17,Furniture,Portland,Wholesale
2025-01-12,859.4,300.61,5,Electronics,Portland,Direct
2025-05-04,808.37,291.3,15,Software,Seattle,Retail
2025-10-03,818.27,-22.69,3,Software,San Francisco,Direct
2025-01-31,467.36,50.14,2,Office Supplies,Austin,Retail
2025-10-15,602.77,6.01,17,Furniture,Denver,Retail
2025-06-18,513.66,72.99,7,Furniture,Seattle,Retail
2025-12-07,2059.97,593.35,1,Software,Chicago,Direct
2025-10-16,812.3,-48.76,9,Office Supplies,San Francisco,Direct
2025-12-24,2572.39,918.77,2,Electronics,New York,Retail
2025-11-30,1335.93,459.51,8,Software,Denver,Direct
2025-10-19,1132.66,76.79,8,Office Supplies,Portland,Direct
2025-09-19,1383.56,32.85,26,Office Supplies,Denver,Wholesale
2025-07-06,4106.26,416.93,4,Furniture,San Francisco,Wholesale
2025-09-06,876.34,116.35,5,Furniture,Chicago,Online
2025-07-31,1557.14,270.64,3,Electronics,Chicago,Wholesale
2025-11-24,104.17,-4.64,29,Software,Denver,Wholesale
2025-09-15,737.76,138.5,30,Electronics,Chicago,Wholesale
2025-06-05,2177.22,614.54,2,Electronics,Chicago,Online
2025-06-07,1355.56,321.8,1,Office Supplies,Denver,Online
2025-11-29,1662.7,201.95,6,Furniture,New York,Wholesale
2025-11-28,1578.99,198.1,17,Electronics,Denver,Wholesale
2025-09-09,542.08,179.96,6,Electronics,Chicago,Direct
2025-05-15,2287.59,173.22,38,Furniture,San Francisco,Wholesale
2025-06-21,2565.16,697.39,8,Electronics,San Francisco,Direct
2025-09-09,2089.14,453.25,1,Office Supplies,San Francisco,Retail
2025-05-18,1315.77,435.34,10,Electronics,San Francisco,Direct
2025-01-18,501.89,-3.71,14,Furniture,Denver,Wholesale
2025-01-09,1331.12,530.35,11,Software,Denver,Direct
2025-02-24,1695.7,531.49,9,Software,San Francisco,Online
2025-05-03,649.63,241.82,5,Electronics,San Francisco,Direct
2025-01-17,1899.53,278.0,16,Office Supplies,San Francisco,Online
2025-10-27,1884.45,-84.01,15,Electronics,Portland,Retail
2025-05-10,836.5,101.71,2,Furniture,New York,Wholesale
2025-09-01,1136.25,339.63,1,Electronics,San Francisco,Direct
2025-08-20,256.9,19.24,1,Furniture,Denver,Retail
2025-05-27,258.99,55.72,13,Furniture,Denver,Online
2025-03-01,2072.8,262.68,2,Software,Chicago,Online
