score_a,score_b,score_c,category
32.7,48.0,41.8,Beginner
80.4,80.6,80.8,Advanced
100,100,82.6,Expert
38.0,27.6,71.4,Intermediate
49.9,42.6,81.7,Advanced
56.7,60.1,86.7,Advanced
37.6,51.2,50.0,Beginner
69.4,71.0,100,Expert
73.4,74.4,82.7,Advanced
59.5,48.0,75.9,Advanced
71.4,62.3,48.2,Intermediate
86.4,69.4,85.8,Expert
47.1,40.9,46.9,Beginner
60.4,46.8,82.1,Advanced
100,79.6,88.4,Expert
80.6,64.9,85.1,Advanced
47.1,72.7,79.6,Intermediate
49.4,53.6,76.3,Intermediate
92.5,61.5,77.3,Advanced
80.9,83.5,81.1,Advanced
73.9,66.4,73.7,Advanced
100,81.9,95.9,Expert
57.3,68.1,81.3,Advanced
88.6,84.2,97.4,Expert
100,89.5,100,Expert
72.3,74.7,83.9,Advanced
68.3,63.6,96.9,Expert
99.4,90.6,90.4,Expert
79.3,99.6,82.3,Expert
42.5,41.7,59.4,Intermediate
