date,region,product,units_sold,revenue,cost,lead_time_days
2024-01-01,North America,AuraSound Pro,236,21730.34,9971.6,6
2024-01-01,North America,BassLink Ultra,145,9700.07,5205.23,7
2024-01-01,North America,ClearWave SE,167,7948.1,4782.29,6
2024-01-01,Europe,AuraSound Pro,162,14114.53,5949.36,7
2024-01-01,Europe,BassLink Ultra,133,9245.32,4429.64,6
2024-01-01,Europe,ClearWave SE,83,4062.93,2174.89,6
2024-01-01,Asia Pacific,AuraSound Pro,214,18679.5,8429.71,6
2024-01-01,Asia Pacific,BassLink Ultra,102,7215.76,3370.14,8
2024-01-01,Asia Pacific,ClearWave SE,81,4123.79,2240.94,5
2024-01-01,Latin America,AuraSound Pro,124,10639.2,5179.58,5
2024-01-01,Latin America,BassLink Ultra,104,7141.91,3585.29,6
2024-01-01,Latin America,ClearWave SE,54,2826.22,1639.96,6
2024-01-02,North America,AuraSound Pro,248,21399.14,9044.1,7
2024-01-02,North America,BassLink Ultra,149,10312.42,4920.42,7
2024-01-02,North America,ClearWave SE,111,5427.33,3010.52,7
2024-01-02,Europe,AuraSound Pro,190,16370.66,8084.16,6
2024-01-02,Europe,BassLink Ultra,111,7384.74,3925.33,8
2024-01-02,Europe,ClearWave SE,125,6418.26,3229.31,6
2024-01-02,Asia Pacific,AuraSound Pro,135,12589.77,5805.1,6
2024-01-02,Asia Pacific,BassLink Ultra,104,7141.37,3445.84,7
2024-01-02,Asia Pacific,ClearWave SE,107,5556.05,3038.85,7
2024-01-02,Latin America,AuraSound Pro,134,12373.13,5636.15,6
2024-01-02,Latin America,BassLink Ultra,88,6173.12,3041.83,10
2024-01-02,Latin America,ClearWave SE,72,3532.46,1946.18,5
2024-01-03,North America,AuraSound Pro,205,18282.62,8647.67,7
2024-01-03,North America,BassLink Ultra,130,9489.67,5037.23,7
2024-01-03,North America,ClearWave SE,147,7571.68,3903.37,6
2024-01-03,Europe,AuraSound Pro,182,16881.71,8198.57,8
2024-01-03,Europe,BassLink Ultra,110,7489.44,3690.13,7
2024-01-03,Europe,ClearWave SE,108,5132.73,2829.07,6
2024-01-03,Asia Pacific,AuraSound Pro,121,10474.87,4560.61,6
2024-01-03,Asia Pacific,BassLink Ultra,111,7783.49,4049.76,8
2024-01-03,Asia Pacific,ClearWave SE,96,5020.97,2624.44,5
2024-01-03,Latin America,AuraSound Pro,85,7484.57,3056.1,6
2024-01-03,Latin America,BassLink Ultra,90,6016.57,2875.11,11
2024-01-03,Latin America,ClearWave SE,68,3278.61,1799.43,6
2024-01-04,North America,AuraSound Pro,269,23572.2,11091.65,7
2024-01-04,North America,BassLink Ultra,203,14397.69,7250.35,6
2024-01-04,North America,ClearWave SE,100,4769.43,2670.87,5
2024-01-04,Europe,AuraSound Pro,131,11959.83,5031.42,7
2024-01-04,Europe,BassLink Ultra,106,7742.95,3590.81,10
2024-01-04,Europe,ClearWave SE,87,4533.83,2681.79,5
2024-01-04,Asia Pacific,AuraSound Pro,189,17547.65,7983.62,5
2024-01-04,Asia Pacific,BassLink Ultra,83,5572.8,3007.76,8
2024-01-04,Asia Pacific,ClearWave SE,96,4721.79,2518.66,6
2024-01-04,Latin America,AuraSound Pro,139,12992.8,6174.03,7
2024-01-04,Latin America,BassLink Ultra,78,5274.5,2847.47,8
2024-01-04,Latin America,ClearWave SE,75,3563.69,1827.06,5
2024-01-05,North America,AuraSound Pro,312,28503.54,12119.26,7
2024-01-05,North America,BassLink Ultra,126,8664.76,4545.96,9
2024-01-05,North America,ClearWave SE,149,7565.91,4218.1,6
2024-01-05,Europe,AuraSound Pro,170,14939.1,6378.38,6
2024-01-05,Europe,BassLink Ultra,126,9164.48,4702.42,8
2024-01-05,Europe,ClearWave SE,102,5138.19,2821.78,7
2024-01-05,Asia Pacific,AuraSound Pro,182,16019.13,6522.8,6
2024-01-05,Asia Pacific,BassLink Ultra,93,6795.77,3706.36,8
2024-01-05,Asia Pacific,ClearWave SE,88,4185.96,2499.5,6
2024-01-05,Latin America,AuraSound Pro,137,12900.21,6214.95,6
2024-01-05,Latin America,BassLink Ultra,75,5433.57,2617.31,6
2024-01-05,Latin America,ClearWave SE,74,3860.6,2206.58,4
2024-01-06,North America,AuraSound Pro,180,16384.49,8095.66,7
2024-01-06,North America,BassLink Ultra,155,11257.84,5899.97,6
2024-01-06,North America,ClearWave SE,152,7491.71,3950.34,7
2024-01-06,Europe,AuraSound Pro,198,18472.07,8999.44,7
2024-01-06,Europe,BassLink Ultra,142,10235.04,5271.01,14
2024-01-06,Europe,ClearWave SE,124,6440.51,3427.51,6
2024-01-06,Asia Pacific,AuraSound Pro,138,12515.83,5109.4,6
2024-01-06,Asia Pacific,BassLink Ultra,183,12534.77,6381.24,6
2024-01-06,Asia Pacific,ClearWave SE,83,3994.43,2206.71,7
2024-01-06,Latin America,AuraSound Pro,108,9838.36,4060.11,7
2024-01-06,Latin America,BassLink Ultra,90,6324.7,3249.27,7
2024-01-06,Latin America,ClearWave SE,47,2418.88,1269.41,6
2024-01-07,North America,AuraSound Pro,184,15772.23,7754.23,6
2024-01-07,North America,BassLink Ultra,170,11789.97,5509.8,9
2024-01-07,North America,ClearWave SE,112,5626.44,3227.36,5
2024-01-07,Europe,AuraSound Pro,139,13077.58,6164.91,8
2024-01-07,Europe,BassLink Ultra,196,13607.75,6460.59,9
2024-01-07,Europe,ClearWave SE,132,6278.24,3187.89,5
2024-01-07,Asia Pacific,AuraSound Pro,176,15797.34,6537.02,7
2024-01-07,Asia Pacific,BassLink Ultra,60,4062.16,2004.21,6
2024-01-07,Asia Pacific,ClearWave SE,128,6485.16,3242.47,4
2024-01-07,Latin America,AuraSound Pro,167,15033.04,7247.19,5
2024-01-07,Latin America,BassLink Ultra,73,4889.86,2514.57,8
2024-01-07,Latin America,ClearWave SE,72,3757.73,2097.95,5
2024-01-08,North America,AuraSound Pro,296,26525.84,12045.53,5
2024-01-08,North America,BassLink Ultra,149,10909.46,5896.95,8
2024-01-08,North America,ClearWave SE,130,6220.03,3297.16,5
2024-01-08,Europe,AuraSound Pro,159,13762.06,6436.6,7
2024-01-08,Europe,BassLink Ultra,153,10960.2,5812.72,8
2024-01-08,Europe,ClearWave SE,87,4458.13,2602.44,5
2024-01-08,Asia Pacific,AuraSound Pro,161,14302.96,6792.15,7
2024-01-08,Asia Pacific,BassLink Ultra,129,9352.31,4609.75,7
2024-01-08,Asia Pacific,ClearWave SE,109,5232.66,3109.67,6
2024-01-08,Latin America,AuraSound Pro,163,14404.41,6994.74,7
2024-01-08,Latin America,BassLink Ultra,95,6948.66,3525.36,7
2024-01-08,Latin America,ClearWave SE,61,2986.33,1586.2,8
2024-01-09,North America,AuraSound Pro,272,25190.99,11992.56,7
2024-01-09,North America,BassLink Ultra,154,10301.58,5201.81,6
2024-01-09,North America,ClearWave SE,150,7386.71,3751.54,5
2024-01-09,Europe,AuraSound Pro,195,17755.5,7352.57,6
2024-01-09,Europe,BassLink Ultra,135,9044.97,4813.61,7
2024-01-09,Europe,ClearWave SE,93,4456.06,2689.37,6
2024-01-09,Asia Pacific,AuraSound Pro,121,11229.39,5505.24,5
2024-01-09,Asia Pacific,BassLink Ultra,100,7192.98,3638.5,7
2024-01-09,Asia Pacific,ClearWave SE,109,5237.06,2876.13,5
2024-01-09,Latin America,AuraSound Pro,125,10749.65,4468.56,6
2024-01-09,Latin America,BassLink Ultra,96,6884.36,3499.57,7
2024-01-09,Latin America,ClearWave SE,70,3424.31,2022.21,6
2024-01-10,North America,AuraSound Pro,226,19470.94,8856.3,7
2024-01-10,North America,BassLink Ultra,155,10988.83,5709.52,8
2024-01-10,North America,ClearWave SE,190,9578.18,5690.66,5
2024-01-10,Europe,AuraSound Pro,279,24548.28,10357.68,6
2024-01-10,Europe,BassLink Ultra,84,5928.34,2713.84,7
2024-01-10,Europe,ClearWave SE,110,5394.16,3152.98,7
2024-01-10,Asia Pacific,AuraSound Pro,135,12647.87,6058.69,7
2024-01-10,Asia Pacific,BassLink Ultra,89,6498.66,3487.22,10
2024-01-10,Asia Pacific,ClearWave SE,117,6133.83,3137.74,5
2024-01-10,Latin America,AuraSound Pro,89,8385.47,4031.66,8
2024-01-10,Latin America,BassLink Ultra,88,6106.66,2914.96,9
2024-01-10,Latin America,ClearWave SE,72,3696.1,2213.68,6
2024-01-11,North America,AuraSound Pro,198,17729.9,7386.71,7
2024-01-11,North America,BassLink Ultra,158,10758.34,5563.89,8
2024-01-11,North America,ClearWave SE,91,4373.29,2487.85,7
2024-01-11,Europe,AuraSound Pro,246,22182.18,10685.07,7
2024-01-11,Europe,BassLink Ultra,194,14089.48,6908.75,10
2024-01-11,Europe,ClearWave SE,117,5968.19,3094.07,7
2024-01-11,Asia Pacific,AuraSound Pro,200,17804.06,7911.64,5
2024-01-11,Asia Pacific,BassLink Ultra,109,7639.58,4036.49,8
2024-01-11,Asia Pacific,ClearWave SE,128,6630.59,3974.69,4
2024-01-11,Latin America,AuraSound Pro,89,7976.38,3933.97,6
2024-01-11,Latin America,BassLink Ultra,59,4184.5,1983.51,7
2024-01-11,Latin America,ClearWave SE,77,3726.78,1986.46,5
2024-01-12,North America,AuraSound Pro,214,19580.54,8233.79,8
2024-01-12,North America,BassLink Ultra,139,9414.39,4319.98,7
2024-01-12,North America,ClearWave SE,121,5871.16,3141.48,5
2024-01-12,Europe,AuraSound Pro,267,22920.42,10931.82,7
2024-01-12,Europe,BassLink Ultra,112,8131.72,4408.1,8
2024-01-12,Europe,ClearWave SE,100,5152.07,2974.33,5
2024-01-12,Asia Pacific,AuraSound Pro,146,12968.36,5817.7,6
2024-01-12,Asia Pacific,BassLink Ultra,85,5926.86,3110.1,9
2024-01-12,Asia Pacific,ClearWave SE,104,5205.03,2881.15,6
2024-01-12,Latin America,AuraSound Pro,123,11104.87,4739.81,6
2024-01-12,Latin America,BassLink Ultra,77,5130.59,2474.01,6
2024-01-12,Latin America,ClearWave SE,63,3029.62,1796.44,5
2024-01-13,North America,AuraSound Pro,304,28148.04,12662.67,7
2024-01-13,North America,BassLink Ultra,157,11083.85,5813.97,7
2024-01-13,North America,ClearWave SE,100,4890.91,2616.34,5
2024-01-13,Europe,AuraSound Pro,217,19246.82,9503.82,9
2024-01-13,Europe,BassLink Ultra,97,6518.68,3033.05,8
